208.9201 	EXP 	hor_line_precue: autoDraw = True
208.9201 	EXP 	ver_line_precue: autoDraw = True
210.9220 	EXP 	hor_line_precue: autoDraw = False
210.9220 	EXP 	ver_line_precue: autoDraw = False
210.9220 	EXP 	hor_line_precue: autoDraw = False
210.9220 	EXP 	ver_line_precue: autoDraw = False
210.9220 	EXP 	image_mi: image = 'pics/left_foot.JPG'
210.9220 	EXP 	image_mi: autoDraw = True
215.4263 	EXP 	image_mi: autoDraw = False
215.4263 	EXP 	image_mi: autoDraw = False
215.4263 	EXP 	text_pause: autoDraw = True
217.9138 	EXP 	New trial (rep=4, index=3): {'pic_name': 'pics/mental_singing.JPG', 'class_mi': 'mental_singing'}
217.9290 	EXP 	text_pause: autoDraw = False
217.9290 	EXP 	text_pause: autoDraw = False
217.9290 	EXP 	hor_line_precue: autoDraw = True
217.9290 	EXP 	ver_line_precue: autoDraw = True
219.9477 	EXP 	hor_line_precue: autoDraw = False
219.9477 	EXP 	ver_line_precue: autoDraw = False
219.9477 	EXP 	hor_line_precue: autoDraw = False
219.9477 	EXP 	ver_line_precue: autoDraw = False
219.9477 	EXP 	image_mi: image = 'pics/mental_singing.JPG'
219.9477 	EXP 	image_mi: autoDraw = True
224.4521 	EXP 	image_mi: autoDraw = False
224.4521 	EXP 	image_mi: autoDraw = False
224.4521 	EXP 	text_pause: autoDraw = True
226.9546 	EXP 	text_pause: autoDraw = False
226.9546 	EXP 	text_pause: autoDraw = False
226.9546 	EXP 	text: autoDraw = True
407.3885 	DATA 	Mouse: Left button down, pos=(231,387)
407.4878 	DATA 	Mouse:  Left button up, pos=(231,387)
409.9397 	EXP 	New trial (rep=1, index=0): None
409.9430 	DATA 	Keypress: space
409.9531 	EXP 	text: autoDraw = False
409.9531 	EXP 	text_2: autoDraw = True
412.9529 	EXP 	Imported classes.xlsx as conditions, 4 conditions, 2 params
412.9537 	EXP 	Created sequence: fullRandom, trialTypes=4, nReps=5, seed=None
412.9541 	EXP 	New trial (rep=0, index=0): {'pic_name': 'pics/mental_singing.JPG', 'class_mi': 'mental_singing'}
412.9728 	EXP 	text_2: autoDraw = False
412.9728 	EXP 	hor_line_precue: autoDraw = True
412.9728 	EXP 	ver_line_precue: autoDraw = True
414.9914 	EXP 	hor_line_precue: autoDraw = False
414.9914 	EXP 	ver_line_precue: autoDraw = False
414.9914 	EXP 	hor_line_precue: autoDraw = False
414.9914 	EXP 	ver_line_precue: autoDraw = False
414.9914 	EXP 	image_mi: image = 'pics/mental_singing.JPG'
414.9914 	EXP 	image_mi: autoDraw = True
419.4960 	EXP 	image_mi: autoDraw = False
419.4960 	EXP 	image_mi: autoDraw = False
419.4960 	EXP 	text_pause: autoDraw = True
421.9835 	EXP 	New trial (rep=0, index=1): {'pic_name': 'pics/mental_singing.JPG', 'class_mi': 'mental_singing'}
421.9985 	EXP 	text_pause: autoDraw = False
421.9985 	EXP 	text_pause: autoDraw = False
421.9985 	EXP 	hor_line_precue: autoDraw = True
421.9985 	EXP 	ver_line_precue: autoDraw = True
424.0171 	EXP 	hor_line_precue: autoDraw = False
424.0171 	EXP 	ver_line_precue: autoDraw = False
424.0171 	EXP 	hor_line_precue: autoDraw = False
424.0171 	EXP 	ver_line_precue: autoDraw = False
424.0171 	EXP 	image_mi: image = 'pics/mental_singing.JPG'
424.0171 	EXP 	image_mi: autoDraw = True
428.5216 	EXP 	image_mi: autoDraw = False
428.5216 	EXP 	image_mi: autoDraw = False
428.5216 	EXP 	text_pause: autoDraw = True
431.0088 	EXP 	New trial (rep=0, index=2): {'pic_name': 'pics/right_foot.JPG', 'class_mi': 'right_foot'}
431.0241 	EXP 	text_pause: autoDraw = False
