pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_2.started,text_2.stopped,wait_screen.stopped,pre_cue.started,hor_line_precue.started,ver_line_precue.started,hor_line_precue.stopped,ver_line_precue.stopped,pre_cue.stopped,MI.started,image_mi.started,polygon.started,polygon_2.started,polygon_3.started,polygon_4.started,image_mi.stopped,polygon.stopped,polygon_2.stopped,polygon_3.stopped,polygon_4.stopped,MI.stopped,pause.started,text_pause.started,text_pause.stopped,pause.stopped,run_break.started,text.started,key_resp.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
pics/right_hand.JPG,right_hand,0,0,0,0,2,1,9,1,90.21747969998978,,,,,,,,,,,,,90.20263650000561,90.21747969998978,90.21747969998978,92.23586889996659,92.23586889996659,92.20370029995684,92.20373750000726,92.23586889996659,92.23586889996659,92.23586889996659,92.23586889996659,92.23586889996659,96.74051379994489,96.74051379994489,96.74051379994489,96.74051379994489,96.74051379994489,96.72611950000282,96.7261611999711,96.74051379994489,99.24304450000636,99.22698319994379,,,,823131,001,2024-10-01_11h59.13.025,online_paradigm,2024.1.5,None,2024-10-01 11h59.19.649302 +0200,
pics/right_hand.JPG,right_hand,0,0,0,0,2,2,10,1,99.24304450000636,,,,,,,,,,,,,99.22752319998108,99.24304450000636,99.24304450000636,101.26179829996545,101.26179829996545,101.22932549996767,101.2293737999862,101.26179829996545,101.26179829996545,101.26179829996545,101.26179829996545,101.26179829996545,105.78288079996128,105.78288079996128,105.78288079996128,105.78288079996128,105.78288079996128,105.76815320004243,105.76819370000158,105.78288079996128,108.28531049995217,108.26950809999835,,,,823131,001,2024-10-01_11h59.13.025,online_paradigm,2024.1.5,None,2024-10-01 11h59.19.649302 +0200,
pics/mental_singing.JPG,mental_singing,0,0,0,0,2,3,11,3,108.28531049995217,,,,,,,,,,,,,108.27019559999462,108.28531049995217,108.28531049995217,110.30394040001556,110.30394040001556,110.2714249000419,110.27145780005958,110.30394040001556,110.30394040001556,110.30394040001556,110.30394040001556,110.30394040001556,114.80852449999657,114.80852449999657,114.80852449999657,114.80852449999657,114.80852449999657,114.79316370002925,114.7931891999906,114.80852449999657,117.31101820000913,117.29482870001812,,,,823131,001,2024-10-01_11h59.13.025,online_paradigm,2024.1.5,None,2024-10-01 11h59.19.649302 +0200,
pics/mental_singing.JPG,mental_singing,0,0,0,0,3,0,12,3,117.31101820000913,,,,,,,,,,,,,117.29520040005445,117.31101820000913,117.31101820000913,119.32969769998454,119.32969769998454,119.29717799997889,119.2972186000552,119.32969769998454,119.32969769998454,119.32969769998454,119.32969769998454,119.32969769998454,123.8341007999843,123.8341007999843,123.8341007999843,123.8341007999843,123.8341007999843,123.81935949996114,123.81939720001537,123.8341007999843,126.33668199996464,126.32079240004532,,,,823131,001,2024-10-01_11h59.13.025,online_paradigm,2024.1.5,None,2024-10-01 11h59.19.649302 +0200,
pics/feet.JPG,feet,0,0,0,0,3,1,13,2,126.33668199996464,,,,,,,,,,,,,126.32149859995116,126.33668199996464,126.33668199996464,128.3553443000419,128.3553443000419,128.32273430004716,128.32278219994623,128.3553443000419,128.3553443000419,128.3553443000419,128.3553443000419,128.3553443000419,132.8598055000184,132.8598055000184,132.8598055000184,132.8598055000184,132.8598055000184,132.8455280000344,132.8455743000377,132.8598055000184,135.36219809995964,135.34615420002956,,,,823131,001,2024-10-01_11h59.13.025,online_paradigm,2024.1.5,None,2024-10-01 11h59.19.649302 +0200,
pics/left_hand.JPG,left_hand,0,0,0,0,3,2,14,0,135.36219809995964,,,,,,,,,,,,,135.34676540002692,135.36219809995964,135.36219809995964,137.38097169995308,137.38097169995308,137.34870920004323,137.3487561000511,137.38097169995308,137.38097169995308,137.38097169995308,137.38097169995308,137.38097169995308,141.8853377000196,141.8853377000196,141.8853377000196,141.8853377000196,141.8853377000196,141.87067710002884,141.8707120999461,141.8853377000196,144.38787179999053,144.37204409996048,,,,823131,001,2024-10-01_11h59.13.025,online_paradigm,2024.1.5,None,2024-10-01 11h59.19.649302 +0200,
pics/feet.JPG,feet,0,0,0,0,3,3,15,2,144.38787179999053,,,,,,,,,,,,,144.37274709995836,144.38787179999053,144.38787179999053,146.40655099996366,146.40655099996366,146.37394510000013,146.37398589996155,146.40655099996366,146.40655099996366,146.40655099996366,146.40655099996366,146.40655099996366,150.91102410003077,150.91102410003077,150.91102410003077,150.91102410003077,150.91102410003077,150.8963544999715,150.8964033999946,150.91102410003077,153.4135911000194,153.39806499995757,,,,823131,001,2024-10-01_11h59.13.025,online_paradigm,2024.1.5,None,2024-10-01 11h59.19.649302 +0200,
pics/right_hand.JPG,right_hand,0,0,0,0,4,0,16,1,153.4135911000194,,,,,,,,,,,,,153.39888440002687,153.4135911000194,153.4135911000194,155.4322290000273,155.4322290000273,155.39981770003214,155.39986300002784,155.4322290000273,155.4322290000273,155.4322290000273,155.4322290000273,155.4322290000273,159.9534571999684,159.9534571999684,159.9534571999684,159.9534571999684,159.9534571999684,159.939036799944,159.9390825999435,159.9534571999684,162.4558375000488,162.44000069994945,,,,823131,001,2024-10-01_11h59.13.025,online_paradigm,2024.1.5,None,2024-10-01 11h59.19.649302 +0200,
pics/mental_singing.JPG,mental_singing,0,0,0,0,4,1,17,3,162.4558375000488,,,,,,,,,,,,,162.4407239999855,162.4558375000488,162.4558375000488,164.4744965999853,164.4744965999853,164.44192100001965,164.44197289994918,164.4744965999853,164.4744965999853,164.4744965999853,164.4744965999853,164.4744965999853,168.97892370005138,168.97892370005138,168.97892370005138,168.97892370005138,168.97892370005138,168.96462570002768,168.96467030001804,168.97892370005138,171.4815103999572,171.4657463999465,,,,823131,001,2024-10-01_11h59.13.025,online_paradigm,2024.1.5,None,2024-10-01 11h59.19.649302 +0200,
pics/right_hand.JPG,right_hand,0,0,0,0,4,2,18,1,171.4815103999572,,,,,,,,,,,,,171.46658490004484,171.4815103999572,171.4815103999572,173.50004429998808,173.50004429998808,173.46774140000343,173.4677873000037,173.50004429998808,173.50004429998808,173.50004429998808,173.50004429998808,173.50004429998808,178.00458830001298,178.00458830001298,178.00458830001298,178.00458830001298,178.00458830001298,177.99047309998423,177.99053980002645,178.00458830001298,180.507098400034,180.4912368999794,,,,823131,001,2024-10-01_11h59.13.025,online_paradigm,2024.1.5,None,2024-10-01 11h59.19.649302 +0200,
pics/right_hand.JPG,right_hand,0,0,0,0,4,3,19,1,180.507098400034,,,,,,,,,,,,,180.491927199997,180.507098400034,180.507098400034,182.52567040000577,182.52567040000577,182.4930720999837,182.4931267000502,182.52567040000577,182.52567040000577,182.52567040000577,182.52567040000577,182.52567040000577,187.0301683000289,187.0301683000289,187.0301683000289,187.0301683000289,187.0301683000289,187.01510650001,187.01514769997448,187.0301683000289,189.53281000000425,189.51693629997317,,,,823131,001,2024-10-01_11h59.13.025,online_paradigm,2024.1.5,None,2024-10-01 11h59.19.649302 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.51713159994688,189.53281000000425,189.53281000000425,,,,,,,,
